Compound,CAS_No,CID,SMILES
Quercetin,117-39-5,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
Kaempferol,520-18-3,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
Myricetin,529-44-2,5281672,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
Fisetin,528-48-3,5281614,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
Rutin,153-18-4,5280805,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
Isorhamnetin,480-19-3,5281654,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
Morin,480-16-0,5281670,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
Ginkgetin,481-46-9,5271805,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O)C4=C(C=C(C5=C4OC(=CC5=O)C6=CC=C(C=C6)O)O)O
Galangin,548-83-4,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
Robinetin,490-31-3,5281692,C1=CC2=C(C=C1O)OC(=C(C2=O)O)C3=CC(=C(C(=C3)O)O)O
Catechin,18829-70-4,73160,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
Epicatechin,490-46-0,72276,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
ECG,1257-08-5,107905,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
EGC,970-74-1,72277,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O
EGCG,989-51-5,65064,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
Theaflavin,4670-05-7,135403798,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)O)O)O)C(=O)C(=C3)O)O
Theaflavin-3-gallate,28543-07-9,135458102,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)C(=O)C(=C3)O)O
Procyanidin B1,20315-25-7,11250133,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O
Procyanidin B2,29106-49-8,122738,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O
Procyanidin C1,37064-30-5,169853,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C(C(=CC(=C34)O)O)C5C(C(OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O
Apigenin,520-36-5,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
Luteolin,491-70-3,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
Baicalein,491-67-8,5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
Chrysin,480-40-0,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
Tangeretin,481-53-8,68077,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC
Nobiletin,478-01-3,72344,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
Wogonin,632-85-9,5281703,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O
Diosmin,520-27-4,5281613,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
Acacetin,480-44-4,5280442,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
Scutellarein,529-53-3,5281697,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O
Genistein,446-72-0,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
Daidzein,486-66-8,5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
Glycitein,40957-83-3,5317750,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O
Formononetin,485-72-3,5280378,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
Biochanin A,491-80-5,5280373,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O
Sissotrin,5928-26-7,5280781,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O
Puerarin,3681-99-0,5281807,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O
Coumestrol,479-13-0,5281707,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O
Equol,531-95-3,91469,C1C(COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O
Prunetin,552-59-0,5281804,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O
Cyanidin,13306-05-3,128861,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O
Delphinidin,13270-61-6,128853,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O
Malvidin,10463-84-0,159287,COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O
Pelargonidin,7690-51-9,440832,C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O
Peonidin,134-01-0,164544,COC1=C(C=CC(=C1)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O
Petunidin,1429-30-7,73386,COC1=CC(=CC(=C1O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O
Rosinidin,4092-64-2,441777,COC1=CC(=C2C=C(C(=[O+]C2=C1)C3=CC(=C(C=C3)O)OC)O)O
Capensinidin,19077-85-1,441658,COC1=CC(=CC(=C1O)OC)C2=C(C=C3C(=CC(=CC3=[O+]2)O)OC)O
Callistephin,18466-51-8,3080714,C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O
Idaein,27661-36-5,176457,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O
Hesperidin,520-26-3,10621,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
Naringenin,480-41-1,932,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
Eriodictyol,552-58-9,440735,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O
Isosakuranetin,480-43-3,160481,COC1=CC=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O
Naringin,10236-47-2,442428,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
Neohesperidin,13241-33-3,442439,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O
Sakuranetin,2957-21-3,73571,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)O
Sterubin,51857-11-5,4872981,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC(=C(C=C3)O)O)O
Pinocembrin,480-39-7,68071,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
Hesperetin,520-33-2,72281,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O
BMS-202,1675203-84-5,117951478,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=NC(=C(C=C3)CNCCNC(=O)C)OC
