pdbqt_file,our_affinity,Compound,CAS_No,published_affinity
ligand_1.pdbqt,-8.7,Quercetin,117-39-5,-8.7
ligand_2.pdbqt,-8.2,Kaempferol,520-18-3,-7.6
ligand_3.pdbqt,-8.4,Myricetin,529-44-2,-8.5
ligand_4.pdbqt,-9.7,Fisetin,528-48-3,-9.5
ligand_5.pdbqt,-8.3,Rutin,153-18-4,-8.4
ligand_6.pdbqt,-7.6,Isorhamnetin,480-19-3,-8.2
ligand_7.pdbqt,-7.6,Morin,480-16-0,-8
ligand_8.pdbqt,-9,Ginkgetin,481-46-9,-10.5
ligand_9.pdbqt,-9.4,Galangin,548-83-4,-10.4
ligand_10.pdbqt,-9.4,Robinetin,490-31-3,-9.2
ligand_11.pdbqt,-8,Catechin,18829-70-4,-7.3
ligand_12.pdbqt,-8,Epicatechin,490-46-0,-8.5
ligand_13.pdbqt,-7,ECG,1257-08-5,-8.2
ligand_14.pdbqt,-8.5,EGC,970-74-1,-8.6
ligand_15.pdbqt,-7.9,EGCG,989-51-5,-8.5
ligand_16.pdbqt,-8.2,Theaflavin,4670-05-7,-9.2
ligand_17.pdbqt,-8.8,Theaflavin-3-gallate,28543-07-9,-7.6
ligand_18.pdbqt,-7.1,Procyanidin B1,20315-25-7,-7.1
ligand_19.pdbqt,-6.6,Procyanidin B2,29106-49-8,-6.8
ligand_20.pdbqt,-4.1,Procyanidin C1,37064-30-5,-1.5
ligand_21.pdbqt,-9.1,Apigenin,520-36-5,-9
ligand_22.pdbqt,-9.2,Luteolin,491-70-3,-8.8
ligand_23.pdbqt,-9.2,Baicalein,491-67-8,-10
ligand_24.pdbqt,-9.2,Chrysin,480-40-0,-9.9
ligand_25.pdbqt,-7.6,Tangeretin,481-53-8,-8.1
ligand_26.pdbqt,-7.6,Nobiletin,478-01-3,-8.2
ligand_27.pdbqt,-7.6,Wogonin,632-85-9,-8.4
ligand_28.pdbqt,-9.1,Diosmin,520-27-4,-9.6
ligand_29.pdbqt,-9,Acacetin,480-44-4,-8.9
ligand_30.pdbqt,-9.1,Scutellarein,529-53-3,-9.3
ligand_31.pdbqt,-6.8,Genistein,446-72-0,-9
ligand_32.pdbqt,-6.4,Daidzein,486-66-8,-9.6
ligand_33.pdbqt,-8.9,Glycitein,40957-83-3,-9
ligand_34.pdbqt,-6.9,Formononetin,485-72-3,-9.1
ligand_35.pdbqt,-6.8,Biochanin A,491-80-5,-8.9
ligand_36.pdbqt,-7.9,Sissotrin,5928-26-7,-7.7
ligand_37.pdbqt,-7.3,Puerarin,3681-99-0,-9
ligand_38.pdbqt,-9.5,Coumestrol,479-13-0,-9.6
ligand_39.pdbqt,-9.3,Equol,531-95-3,-9.2
ligand_40.pdbqt,-9.3,Prunetin,552-59-0,-9.1
ligand_41.pdbqt,-8.6,Cyanidin,13306-05-3,-8.7
ligand_42.pdbqt,-8.8,Delphinidin,13270-61-6,-7.9
ligand_43.pdbqt,-6.4,Malvidin,10463-84-0,-7.8
ligand_44.pdbqt,-6.8,Pelargonidin,7690-51-9,-7.9
ligand_45.pdbqt,-6.2,Peonidin,134-01-0,-7.9
ligand_46.pdbqt,-7.7,Petunidin,1429-30-7,-7.9
ligand_47.pdbqt,-7.8,Rosinidin,4092-64-2,-7.8
ligand_48.pdbqt,-7.3,Capensinidin,19077-85-1,-7.6
ligand_49.pdbqt,-7.8,Callistephin,18466-51-8,-7.5
ligand_50.pdbqt,-8,Idaein,27661-36-5,-8.4
ligand_51.pdbqt,-9.1,Hesperidin,520-26-3,-9.5
ligand_52.pdbqt,-6.9,Naringenin,480-41-1,-9
ligand_53.pdbqt,-7.2,Eriodictyol,552-58-9,-8.8
ligand_54.pdbqt,-8.4,Isosakuranetin,480-43-3,-7.1
ligand_55.pdbqt,-7.8,Naringin,10236-47-2,-8.2
ligand_56.pdbqt,-9,Neohesperidin,13241-33-3,-9.4
ligand_57.pdbqt,-8.6,Sakuranetin,2957-21-3,-8.3
ligand_58.pdbqt,-8.6,Sterubin,51857-11-5,-8.5
ligand_59.pdbqt,-6.9,Pinocembrin,480-39-7,-9.7
ligand_60.pdbqt,-7.3,Hesperetin,520-33-2,-8.9
ligand_61.pdbqt,-10.8,BMS-202,1675203-84-5,-10.9
ligand_62.pdbqt,-10.2,BMS-1166,1818314-88-3,-10.6
