pdbqt_file,best_affinity
decoy_1.pdbqt,-7.2
decoy_2.pdbqt,-7.8
decoy_3.pdbqt,-6.8
decoy_4.pdbqt,-6.2
decoy_5.pdbqt,-7
decoy_6.pdbqt,-7.6
decoy_7.pdbqt,-7.1
decoy_8.pdbqt,-8.3
decoy_9.pdbqt,-8.7
decoy_10.pdbqt,-8.3
decoy_11.pdbqt,-8.1
decoy_12.pdbqt,-8.6
decoy_13.pdbqt,-9.8
decoy_14.pdbqt,-8.2
decoy_15.pdbqt,-9
decoy_16.pdbqt,-7.6
decoy_17.pdbqt,-9.7
decoy_18.pdbqt,-8.7
decoy_19.pdbqt,-8.4
decoy_20.pdbqt,-9.3
decoy_21.pdbqt,-8.6
decoy_22.pdbqt,-9
decoy_23.pdbqt,NA
decoy_24.pdbqt,-8.3
decoy_25.pdbqt,-8.6
decoy_26.pdbqt,-8.8
decoy_27.pdbqt,-7.1
decoy_28.pdbqt,-8.2
decoy_29.pdbqt,-8.8
decoy_30.pdbqt,-7.9
decoy_31.pdbqt,-8.9
decoy_32.pdbqt,-7.6
decoy_33.pdbqt,-8.4
decoy_34.pdbqt,-7.4
decoy_35.pdbqt,-8.7
decoy_36.pdbqt,-7.5
decoy_37.pdbqt,-9
decoy_38.pdbqt,-7.8
decoy_39.pdbqt,-9.7
decoy_40.pdbqt,-8.7
decoy_41.pdbqt,-7.6
decoy_42.pdbqt,-7.7
decoy_43.pdbqt,-10.2
decoy_44.pdbqt,-8.3
decoy_45.pdbqt,-9.8
decoy_46.pdbqt,-9.5
decoy_47.pdbqt,-7.9
decoy_48.pdbqt,-7.7
decoy_49.pdbqt,-9.6
decoy_50.pdbqt,-8.5
decoy_51.pdbqt,-9.9
decoy_52.pdbqt,-7.9
decoy_53.pdbqt,-5.4
decoy_54.pdbqt,-6.1
decoy_55.pdbqt,-8.9
decoy_56.pdbqt,-8
decoy_57.pdbqt,-11.3
decoy_58.pdbqt,-8
decoy_59.pdbqt,-6.9
decoy_60.pdbqt,-7
decoy_61.pdbqt,-10.8
decoy_62.pdbqt,-8.9
decoy_63.pdbqt,-7.2
decoy_64.pdbqt,-8.8
decoy_65.pdbqt,-7.8
decoy_66.pdbqt,-8.9
decoy_67.pdbqt,-7.5
decoy_68.pdbqt,-6.7
decoy_69.pdbqt,-8.7
decoy_70.pdbqt,-7
decoy_71.pdbqt,-6.9
decoy_72.pdbqt,-9.5
decoy_73.pdbqt,-6.4
decoy_74.pdbqt,-7
decoy_75.pdbqt,-9.3
decoy_76.pdbqt,-7.2
decoy_77.pdbqt,-10.3
decoy_78.pdbqt,-7.9
decoy_79.pdbqt,-8.4
decoy_80.pdbqt,-9.1
decoy_81.pdbqt,-8.6
decoy_82.pdbqt,-8.2
decoy_83.pdbqt,-7.7
decoy_84.pdbqt,-9.2
decoy_85.pdbqt,-8.3
decoy_86.pdbqt,-7.5
decoy_87.pdbqt,-9
decoy_88.pdbqt,-8.8
decoy_89.pdbqt,-9.2
decoy_90.pdbqt,-7.4
decoy_91.pdbqt,-8.6
decoy_92.pdbqt,-10.2
decoy_93.pdbqt,-7.3
decoy_94.pdbqt,-10.2
decoy_95.pdbqt,-7.9
decoy_96.pdbqt,-8.5
decoy_97.pdbqt,-6.8
decoy_98.pdbqt,-8.4
decoy_99.pdbqt,-8.9
decoy_100.pdbqt,-7.2
