pdbqt_file,best_affinity
ligand_1.pdbqt,-8.7
ligand_2.pdbqt,-8.2
ligand_3.pdbqt,-8.4
ligand_4.pdbqt,-9.7
ligand_5.pdbqt,-8.3
ligand_6.pdbqt,-7.6
ligand_7.pdbqt,-7.6
ligand_8.pdbqt,-9
ligand_9.pdbqt,-9.4
ligand_10.pdbqt,-9.4
ligand_11.pdbqt,-8
ligand_12.pdbqt,-8
ligand_13.pdbqt,-7
ligand_14.pdbqt,-8.5
ligand_15.pdbqt,-7.9
ligand_16.pdbqt,-8.2
ligand_17.pdbqt,-8.8
ligand_18.pdbqt,-7.1
ligand_19.pdbqt,-6.6
ligand_20.pdbqt,-4.1
ligand_21.pdbqt,-9.1
ligand_22.pdbqt,-9.2
ligand_23.pdbqt,-9.2
ligand_24.pdbqt,-9.2
ligand_25.pdbqt,-7.6
ligand_26.pdbqt,-7.6
ligand_27.pdbqt,-7.6
ligand_28.pdbqt,-9.1
ligand_29.pdbqt,-9
ligand_30.pdbqt,-9.1
ligand_31.pdbqt,-6.8
ligand_32.pdbqt,-6.4
ligand_33.pdbqt,-8.9
ligand_34.pdbqt,-6.9
ligand_35.pdbqt,-6.8
ligand_36.pdbqt,-7.9
ligand_37.pdbqt,-7.3
ligand_38.pdbqt,-9.5
ligand_39.pdbqt,-9.3
ligand_40.pdbqt,-9.3
ligand_41.pdbqt,-8.6
ligand_42.pdbqt,-8.8
ligand_43.pdbqt,-6.4
ligand_44.pdbqt,-6.8
ligand_45.pdbqt,-6.2
ligand_46.pdbqt,-7.7
ligand_47.pdbqt,-7.8
ligand_48.pdbqt,-7.3
ligand_49.pdbqt,-7.8
ligand_50.pdbqt,-8
ligand_51.pdbqt,-9.1
ligand_52.pdbqt,-6.9
ligand_53.pdbqt,-7.2
ligand_54.pdbqt,-8.4
ligand_55.pdbqt,-7.8
ligand_56.pdbqt,-9
ligand_57.pdbqt,-8.6
ligand_58.pdbqt,-8.6
ligand_59.pdbqt,-6.9
ligand_60.pdbqt,-7.3
ligand_61.pdbqt,-10.8
ligand_62.pdbqt,-10.2
